                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                0.96973,                 3.1289,                0.93224,                0.79055,                0.12411,                0.31221,                0.23663,                0.83309,                 2.9499,                0.85138,              0.0003254,              0.0003254,              0.0003254
                      1,                0.86427,                 1.3365,                0.87438,                0.95858,                0.51124,                0.94386,                0.74349,                0.72036,                 2.0232,                0.84149,             0.00065221,             0.00065221,             0.00065221
                      2,                0.78242,                0.92808,                0.87285,                0.94558,                0.91624,                0.97724,                0.78665,                0.69389,                 1.1806,                0.84034,             0.00097242,             0.00097242,             0.00097242
                      3,                0.73647,                0.79274,                0.86145,                0.93794,                0.95339,                0.97972,                0.79509,                0.65321,                0.73022,                0.83271,              0.0009703,              0.0009703,              0.0009703
                      4,                0.73342,                0.75125,                0.85705,                0.93778,                0.97634,                0.97968,                0.77951,                 0.6727,                0.62062,                0.83383,              0.0009703,              0.0009703,              0.0009703
                      5,                0.70022,                0.69755,                0.85588,                0.94241,                0.96907,                0.98314,                0.81076,                0.61766,                0.54002,                0.82754,              0.0009604,              0.0009604,              0.0009604
                      6,                 0.6866,                0.66857,                 0.8476,                0.94732,                0.96638,                0.98283,                0.81483,                0.62313,                0.55477,                0.82686,              0.0009505,              0.0009505,              0.0009505
                      7,                 0.6855,                0.64039,                0.84708,                0.95429,                0.96646,                0.98615,                 0.8219,                0.61478,                0.54022,                0.82621,              0.0009406,              0.0009406,              0.0009406
                      8,                0.68438,                0.61397,                0.85076,                0.95374,                0.96651,                 0.9865,                0.82127,                0.61212,                 0.4837,                0.82493,              0.0009307,              0.0009307,              0.0009307
                      9,                0.66736,                0.58107,                0.84595,                0.95354,                0.97005,                0.98487,                0.82188,                0.59915,                0.48936,                0.82134,              0.0009208,              0.0009208,              0.0009208
